Brand,Date,Count
Dr.Jart+,01-02-2021,0
Dr.Jart+,01-03-2021,0
Dr.Jart+,01-04-2021,0
Dr.Jart+,01-05-2021,0
Dr.Jart+,01-06-2021,0
Dr.Jart+,01-07-2021,0
Dr.Jart+,01-08-2021,0
Dr.Jart+,01-09-2021,0
Dr.Jart+,01-10-2021,0
Dr.Jart+,01-11-2021,0
Dr.Jart+,01-12-2021,0
Dr.Jart+,01-01-2022,0
Dr.Jart+,01-02-2022,0
Dr.Jart+,01-03-2022,8
Dr.Jart+,01-04-2022,11
Dr.Jart+,01-05-2022,11
Dr.Jart+,01-06-2022,15
Dr.Jart+,01-07-2022,14
Dr.Jart+,01-08-2022,10
Dr.Jart+,01-09-2022,18
Dr.Jart+,01-10-2022,18
Dr.Jart+,01-11-2022,15
Dr.Jart+,01-12-2022,24
Dr.Jart+,01-01-2023,20
Dr.Jart+,01-02-2023,16
Dr.Jart+,01-03-2023,25
Dr.Jart+,01-04-2023,19
Dr.Jart+,01-05-2023,26
Dr.Jart+,01-06-2023,27
Dr.Jart+,01-07-2023,35
Dr.Jart+,01-08-2023,26
Dr.Jart+,01-09-2023,25
Dr.Jart+,01-10-2023,20
Dr.Jart+,01-11-2023,35
Dr.Jart+,01-12-2023,31
Dr.Jart+,01-01-2024,25
Dr.Jart+,01-02-2024,20
Dr.Jart+,01-03-2024,32
Dr.Jart+,01-04-2024,25
Dr.Jart+,01-05-2024,17
Dr.Jart+,01-06-2024,21
Dr.Jart+,01-07-2024,20
Dr.Jart+,01-08-2024,31
Dr.Jart+,01-09-2024,34
Dr.Jart+,01-10-2024,47
Dr.Jart+,01-11-2024,67
Dr.Jart+,01-12-2024,50
Dr.Jart+,01-01-2025,45
Dr.Jart+,01-02-2025,47
Dr.Jart+,01-03-2025,53
Dr.Jart+,01-04-2025,58
Dr.Jart+,01-05-2025,46
Dr.Jart+,01-06-2025,37
Dr.Jart+,01-07-2025,50
Dr.Jart+,01-08-2025,35
Dr.Jart+,01-09-2025,48
Dr.Jart+,01-10-2025,45
Dr.Jart+,01-11-2025,100
Dr.Jart+,01-12-2025,95
Dr.Jart+,01-01-2026,63
Dr.Jart+,01-02-2026,47
